ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-30,-10160.8447591275,-28779.406718935315,31777.764429128412,-10160.8447591275,-10160.8447591275,9893.299697677072,9893.299697677072,9893.299697677072,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630348992,920.8536630348992,920.8536630348992,39629.69423039617,39629.69423039617,39629.69423039617,0.0,0.0,0.0,-267.54506145042797
2025-05-01,-9759.382070577274,-33159.167100075065,28084.938805790873,-9759.382070577274,-9759.382070577274,7500.548091366737,7500.548091366737,7500.548091366737,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368591343,-1600.4310368591343,-1600.4310368591343,39758.227323979874,39758.227323979874,39758.227323979874,0.0,0.0,0.0,-2258.833979210537
2025-05-02,-9357.91938202705,-22864.512369802513,35325.629953220545,-9357.91938202705,-9357.91938202705,15814.042016082672,15814.042016082672,15814.042016082672,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134649895,6641.878134649895,6641.878134649895,39829.412077186775,39829.412077186775,39829.412077186775,0.0,0.0,0.0,6456.122634055622
2025-05-03,-8956.456693476825,-33235.24211258515,28853.382273021587,-8956.456693476825,-8956.456693476825,7282.95318596689,7282.95318596689,7282.95318596689,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792818889444,-1903.3792818889444,-1903.3792818889444,39843.580663609835,39843.580663609835,39843.580663609835,0.0,0.0,0.0,-1673.503507509935
2025-05-04,-8554.994004926602,-33689.91953513105,28325.677404322654,-8554.994004926602,-8554.994004926602,7237.011570787829,7237.011570787829,7237.011570787829,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884209497,-1906.6827884209497,-1906.6827884209497,39800.94255496278,39800.94255496278,39800.94255496278,0.0,0.0,0.0,-1317.982434138773
2025-05-05,-8153.531316376377,-31523.964705015373,29138.72392707771,-8153.531316376377,-8153.531316376377,8686.400149695288,8686.400149695288,8686.400149695288,-30657.248195754,-30657.248195754,-30657.248195754,-358.09154699530814,-358.09154699530814,-358.09154699530814,39701.7398924446,39701.7398924446,39701.7398924446,0.0,0.0,0.0,532.8688333189111
2025-05-06,-7752.068627826153,-31362.11225546134,29065.02816968608,-7752.068627826153,-7752.068627826153,7095.004003459575,7095.004003459575,7095.004003459575,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434943132,-1794.1471434943132,-1794.1471434943132,39546.39934270789,39546.39934270789,39546.39934270789,0.0,0.0,0.0,-657.0646243665778
2025-05-07,-7350.605939275928,-29617.891999774136,31796.05541121099,-7350.605939275928,-7350.605939275928,9599.278983536462,9599.278983536462,9599.278983536462,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630264925,920.8536630264925,920.8536630264925,39335.673516263974,39335.673516263974,39335.673516263974,0.0,0.0,0.0,2248.673044260534
2025-05-08,-6949.143250725704,-30252.460763261595,28255.918206467166,-6949.143250725704,-6949.143250725704,6813.086456431696,6813.086456431696,6813.086456431696,-30657.248195754,-30657.248195754,-30657.248195754,-1600.431036874408,-1600.431036874408,-1600.431036874408,39070.76568906011,39070.76568906011,39070.76568906011,0.0,0.0,0.0,-136.0567942940079
2025-05-09,-6547.680833433973,-21660.322235368087,39888.65698183068,-6547.680833433973,-6547.680833433973,14738.062373400062,14738.062373400062,14738.062373400062,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134654963,6641.878134654963,6641.878134654963,38753.4324344991,38753.4324344991,38753.4324344991,0.0,0.0,0.0,8190.381539966089
